President,Month,Cumulative
BUSH,1,0
BUSH,2,1
BUSH,3,1
BUSH,4,4
BUSH,5,4
BUSH,6,13
BUSH,7,22
BUSH,8,22
BUSH,9,22
BUSH,10,26
BUSH,11,26
BUSH,12,26
BUSH,13,26
BUSH,14,34
BUSH,15,39
BUSH,16,39
BUSH,17,50
BUSH,18,53
BUSH,19,53
BUSH,20,53
BUSH,21,53
BUSH,22,55
BUSH,23,63
BUSH,24,63
BUSH,25,63
BUSH,26,63
BUSH,27,64
BUSH,28,66
BUSH,29,68
BUSH,30,77
BUSH,31,85
BUSH,32,85
OBAMA,1,0
OBAMA,2,1
OBAMA,3,1
OBAMA,4,20
OBAMA,5,20
OBAMA,6,28
OBAMA,7,37
OBAMA,8,39
OBAMA,9,39
OBAMA,10,40
OBAMA,11,50
OBAMA,12,53
OBAMA,13,53
OBAMA,14,53
OBAMA,15,54
OBAMA,16,56
OBAMA,17,56
OBAMA,18,59
OBAMA,19,59
OBAMA,20,59
OBAMA,21,59
OBAMA,22,59
OBAMA,23,73
OBAMA,24,74
OBAMA,25,74
OBAMA,26,74
OBAMA,27,81
OBAMA,28,81
OBAMA,29,90
OBAMA,30,90
OBAMA,31,90
OBAMA,32,90
TRUMP,1,0
TRUMP,2,0
TRUMP,3,0
TRUMP,4,0
TRUMP,5,14
TRUMP,6,14
TRUMP,7,21
TRUMP,8,21
TRUMP,9,21
TRUMP,10,21
TRUMP,11,35
TRUMP,12,35
TRUMP,13,38
TRUMP,14,38
TRUMP,15,38
TRUMP,16,38
TRUMP,17,38
TRUMP,18,43
TRUMP,19,49
TRUMP,20,49
TRUMP,21,49
TRUMP,22,49
TRUMP,23,51
TRUMP,24,57
TRUMP,25,57
TRUMP,26,60
TRUMP,27,60
TRUMP,28,60
TRUMP,29,64
TRUMP,30,78
TRUMP,31,78
TRUMP,32,81
