Date,city,state_id,Venue,Rating,Level,state_name,county_name,lat,lng,population,density,source,zips,id
"February 18, 2017",Melbourne,FL,Orlando Melbourne International Airport,Positive,17,Florida,Brevard,28.1085,-80.6627,82011.0,719.0,polygon,32901 32903 32934 32935 32904 32912 32919 32941,1840012544
"March 15, 2017",Nashville,TN,Nashville Municipal Auditorium,Positive,27,Tennessee,Davidson,36.1715,-86.7843,1076645.0,541.0,polygon,37027 37138 37076 37072 37205 37201 37206 37240 37243 37246 37080 37218 37219 37216 37217 37214 37215 37212 37213 37210 37211 37189 37209 37208 37204 37207 37203 37115 37013 37228 37221 37220 37143 37011 37116 37202 37222 37224 37227 37229 37230 37232 37234 37235 37236 37238 37241 37242 37244 37250,1840111655
"March 20, 2017",Louisville,KY,Kentucky Exposition Center,Positive,27,Kentucky,Jefferson,38.1663,-85.6485,1011696.0,910.0,polygon,40177 40245 40241 40218 40219 40214 40216 40211 40213 40059 40291 40299 40220 40223 40222 40229 40228 40023 40272 40207 40209 40258 40118 40027 40225 40261 40268 40269 40281,1840108472
"April 29, 2017",Harrisburg,PA,Pennsylvania Farm Show Complex & Expo Center,Positive,7,Pennsylvania,Dauphin,40.2752,-76.8843,441580.0,2339.0,polygon,17101 17102 17103 17104 17120 17110 17105 17108 17121 17122 17123 17124 17125 17126 17127 17128 17129 17130,1840079423
"June 21, 2017",Cedar Rapids,IA,U.S. Cellular Center,Negative,-8,Iowa,Linn,41.9667,-91.6781,186160.0,720.0,polygon,52404 52405 52402 52401 52411 52403 52406 52407 52408 52409 52410 52497 52498 52499,1840026617
"July 25, 2017",Youngstown,OH,Covelli Centre,Negative,-2,Ohio,Mahoning,41.0993,-80.6463,373728.0,735.0,polygon,44502 44503 44504 44505 44506 44507 44509 44511 44510 44501 44555,1840066883
"August 3, 2017",Huntington,WV,Big Sandy Superstore Arena,Positive,13,West Virginia,Cabell,38.4109,-82.4344,194155.0,1120.0,polygon,25703 25702 25701 25705 25704 25706 25708 25709 25710 25711 25712 25713 25714 25716 25717 25718 25719 25720 25721 25722 25723 25724 25725 25726 25727 25728 25729 25755 25772 25773 25774 25775 25776 25777 25778,1840098202
"August 22, 2017",Phoenix,AZ,Phoenix Convention Center,Negative,-3,Arizona,Maricopa,33.5722,-112.0891,4081849.0,1212.0,polygon,85008 85009 85006 85007 85004 85083 85086 85087 85085 85383 85033 85304 85306 85308 85020 85021 85022 85023 85024 85027 85028 85029 85353 85019 85018 85013 85012 85015 85014 85017 85016 85254 85003 85044 85045 85042 85043 85040 85041 85048 85054 85037 85035 85034 85032 85031 85307 85310 85051 85050 85053 85001 85002 85005 85010 85011 85026 85030 85036 85038 85046 85060 85061 85062 85063 85064 85065 85066 85067 85068 85069 85070 85071 85072 85073 85074 85075 85076 85078 85079 85080 85082,1840001455
"September 22, 2017",Huntsville,AL,Von Braun Center,Positive,23,Alabama,Madison,34.6988,-86.6412,309716.0,350.0,polygon,35801 35803 35802 35805 35806 35741 35824 35763 35757 35756 35810 35811 35816 35896 35762 35804 35807 35809 35814 35815 35893 35894 35895 35897 35899,1840005960
"December 8, 2017",Pensacola,FL,Pensacola Bay Center,Positive,2,Florida,Escambia,30.4427,-87.1886,344400.0,897.0,polygon,32501 32504 32503 32502 32513 32522 32524 32591,1840012515
"May 10, 2018",Elkhart,IN,North Side Middle School,Positive,7,Indiana,Elkhart,41.6912,-85.962,148131.0,748.0,polygon,46514 46517 46516 46515,1840022298
"May 29, 2018",Nashville,TN,Nashville Municipal Auditorium,Positive,19,Tennessee,Davidson,36.1715,-86.7843,1076645.0,541.0,polygon,37027 37138 37076 37072 37205 37201 37206 37240 37243 37246 37080 37218 37219 37216 37217 37214 37215 37212 37213 37210 37211 37189 37209 37208 37204 37207 37203 37115 37013 37228 37221 37220 37143 37011 37116 37202 37222 37224 37227 37229 37230 37232 37234 37235 37236 37238 37241 37242 37244 37250,1840111655
"June 20, 2018",Duluth,MN,AMSOIL Arena,Negative,-15,Minnesota,St. Louis,46.7757,-92.1392,120101.0,463.0,polygon,55803 55802 55805 55804 55808 55810 55811 55812 55807 55806 55815 55816,1840043786
"June 23, 2018",Las Vegas,NV,Nevada Republican Convention,Negative,-8,Nevada,Clark,36.2333,-115.2654,2073045.0,1747.0,polygon,89107 89106 89104 89102 89101 89108 89138 89130 89131 89134 89143 89146 89145 89144 89149 89124 89110 89117 89129 89128 88901 88905 89105 89114 89116 89125 89126 89127 89133 89136 89137 89140 89151 89152 89153 89155 89157 89158 89162 89163 89165 89173 89185 89195,1840051122
"June 25, 2018",West Columbia,SC,Airport High School,Positive,13,South Carolina,Lexington,33.9928,-81.0925,17265.0,765.0,polygon,29169 29171,1840081600
"June 27, 2018",Fargo,ND,Scheels Arena,Positive,5,North Dakota,Cass,46.8653,-96.8292,204820.0,949.0,polygon,58102 58104 58103 58105 58106 58107 58108 58109 58121 58122 58124 58125 58126,1840064828
"July 5, 2018",Great Falls,MT,Four Seasons Arena,Positive,4,Montana,Cascade,47.5022,-111.2995,65624.0,990.0,polygon,59405 59404 59401 59406,1840050033
"July 31, 2018",Tampa,FL,Florida State Fairgrounds,Positive,4,Florida,Hillsborough,27.9942,-82.4451,2804240.0,1305.0,polygon,33637 33629 33621 33620 33619 33616 33613 33610 33617 33614 33611 33612 33605 33603 33647 33609 33604 33607 33606 33602 33608 33622 33623 33630 33631 33633 33646 33650 33655 33663 33664 33672 33673 33674 33677 33679 33681 33684 33686 33689,1840012413
"August 2, 2018",Wilkes-Barre,PA,Mohegan Sun Arena at Casey Plaza,Negative,-7,Pennsylvania,Luzerne,41.2468,-75.8759,40806.0,2257.0,polygon,18702 18701 18705 18703 18710 18711 18762 18765 18766 18767 18769 18773,1840079428
"August 21, 2018",Charleston,WV,Charleston Civic Center,Positive,31,West Virginia,Kanawha,38.3484,-81.6323,142858.0,587.0,polygon,25305 25304 25303 25302 25301 25311 25312 25314 25317 25321 25322 25323 25324 25325 25326 25327 25328 25329 25330 25331 25332 25333 25334 25335 25336 25337 25338 25339 25350 25364 25375 25387 25392 25396,1840100875
"August 30, 2018",Evansville,IN,Ford Center,Positive,6,Indiana,Vanderburgh,37.9881,-87.5341,232285.0,970.0,polygon,47708 47714 47715 47710 47711 47713 47701 47702 47703 47704 47705 47706 47716 47719 47722 47724 47728 47730 47731 47732 47733 47734 47735 47736 47737 47740 47747 47750,1840022331
"September 6, 2018",Billings,MT,MetraPark Arena,Negative,6,Montana,Yellowstone,45.7889,-108.5509,120800.0,962.0,polygon,59106 59105 59102 59101 59104 59107 59108 59115 59116 59117,1840050003
"September 20, 2018",Las Vegas,NV,Las Vegas Convention Center,Negative,-7,Nevada,Clark,36.2333,-115.2654,2073045.0,1747.0,polygon,89107 89106 89104 89102 89101 89108 89138 89130 89131 89134 89143 89146 89145 89144 89149 89124 89110 89117 89129 89128 88901 88905 89105 89114 89116 89125 89126 89127 89133 89136 89137 89140 89151 89152 89153 89155 89157 89158 89162 89163 89165 89173 89185 89195,1840051122
"September 21, 2018",Springfield,MO,JQH Arena,Positive,6,Missouri,Greene,37.1943,-93.2915,287222.0,784.0,polygon,65810 65802 65803 65804 65806 65807 65809 65805 65808 65814 65817 65890 65897 65898 65899,1840047670
"September 29, 2018",Wheeling,WV,WesBanco Arena,Positive,29,West Virginia,Ohio,40.0751,-80.6951,77206.0,758.0,polygon,26003,1840098598
"October 1, 2018",Johnson City,TN,Freedom Hall,Positive,20,Tennessee,Washington,36.3406,-82.3803,126589.0,594.0,polygon,37614 37615 37601 37604 37602 37605 37684,1840086217
"October 2, 2018",Southaven,MS,Landers Center,Positive,23,Mississippi,DeSoto,34.9514,-89.9787,54031.0,504.0,polygon,38651 38671 38672,1840045041
"October 4, 2018",Rochester,MN,Mayo Civic Center,Negative,-15,Minnesota,Olmsted,44.0151,-92.4778,116713.0,809.0,polygon,55902 55901 55906 55904 55905,1840042911
"October 6, 2018",Topeka,KS,Kansas Expocentre,Positive,8,Kansas,Shawnee,39.0346,-95.6955,148960.0,795.0,polygon,66621 66622 66609 66608 66607 66606 66605 66604 66603 66611 66612 66614 66616 66601 66624 66625 66626 66629 66636 66647 66667 66675 66683 66699,1840028148
"October 9, 2018",Council Bluffs,IA,Mid-America Center,Negative,-10,Iowa,Pottawattamie,41.2369,-95.8518,62316.0,561.0,polygon,51503 51501 51502,1840025117
"October 10, 2018",Erie,PA,Erie Insurance Arena,Negative,-6,Pennsylvania,Erie,42.1168,-80.0733,188079.0,1964.0,polygon,16546 16510 16511 16508 16502 16507 16504 16503 16501 16512 16514 16522 16530 16534 16538 16541 16544 16550 16553,1840073460
"October 12, 2018",Lebanon,OH,Warren County Fairgrounds,Positive,1,Ohio,Warren,39.425,-84.2136,20622.0,621.0,polygon,45036,1840065623
